NAME,TYPE,RESOURCE GROUP,LOCATION,SUBSCRIPTION
AutoStop_CreateAlert_Parent (devops-auto-vms/AutoStop_CreateAlert_Parent),Runbook,devops,West US,Cashapp Dev/Test
AutoStop_Disable (devops-auto-vms/AutoStop_Disable),Runbook,devops,West US,Cashapp Dev/Test
AutoStop_VM_Child (devops-auto-vms/AutoStop_VM_Child),Runbook,devops,West US,Cashapp Dev/Test
AutoStop_VM_Child_ARM (devops-auto-vms/AutoStop_VM_Child_ARM),Runbook,devops,West US,Cashapp Dev/Test
AzureBackup_fa-dev-sftp_193515387258708,Restore Point Collection,azurebackuprg_centralus_1,Central US,Dataapp Dev/Test
AzureBackup_fa-qa-sftp_193516057751956,Restore Point Collection,azurebackuprg_centralus_1,Central US,Dataapp Dev/Test
AzureBackup_fa-uat-sftp_193515675542273,Restore Point Collection,azurebackuprg_centralus_1,Central US,Dataapp Dev/Test
azureblob,API Connection,tr_dss,West US,Cashapp Dev/Test
azureblob,API Connection,la-platform-orchestrator,West US 2,Cashapp Dev/Test
azureblob,API Connection,fa-dev-infrastructure,West US,Dataapp Dev/Test
azureblob,API Connection,fa-dev-logic,Central US,Dataapp Dev/Test
azureblob,API Connection,fa-qa-logic,Central US,Dataapp Dev/Test
azureblob,API Connection,fa-uat-logic,Central US,Dataapp Dev/Test
azureblob,API Connection,ky-hilton-wf,Central US,Dataapp Dev/Test
azureblob,API Connection,Company1-cnx-dynamics,West US,Dataapp Dev/Test
azureblob,API Connection,Company1-cnx-infor,West Central US,Dataapp Dev/Test
azureblob,API Connection,la-platform-orchestrator,West US 2,Dataapp Dev/Test
azureblob,API Connection,pbi-deployment-rg,West US,Dataapp Dev/Test
azureblob-1,API Connection,Company1-cnx-infor,West US,Dataapp Dev/Test
AzureFirewallPIP,Public IP address,usdt-manage-shared-centralus-rg-001,Central US,DevOps Dev/Test
AzureSQLAnalytics(fadhsqlserverdev-law),Solution,fa-dev-data,Central US,Dataapp Dev/Test
azuretables,API Connection,Company1-cnx-dynamics,West US,Dataapp Dev/Test
basetenantdb (catalog-mt-bbfa1/basetenantdb),SQL database,wingtip-sql-mt-bbfa1,Central US,Dataapp Dev/Test
bd31cbc6-2174-4342-9e21-e70b2f99166b-dashboard (dh-qa-IngestionEngine Dashboard),Shared dashboard,fa-qa-api,West US 2,Dataapp Dev/Test
blob.core.windows.net,Private DNS zone,fa-qa-sftp-rg-001,Global,Dataapp Dev/Test
ca-frontend-qa,App Service,ca-qa,West US 2,Cashapp Dev/Test
ca-frontend-test,App Service,ca-test,West US 2,Cashapp Dev/Test
ca-frontend-uat,App Service,ca-uat,West US 2,Cashapp Dev/Test
ca-portal-combined,App Service,ca-node-test,West Central US,Cashapp Dev/Test
ca-portal-qa,App Service,ca-qa,West US 2,Cashapp Dev/Test
ca-portal-test,App Service,ca-test,West US 2,Cashapp Dev/Test
ca-portal-uat,App Service,ca-uat,West US 2,Cashapp Dev/Test
cadevstorage3321,Storage account,ca-dev,West US,Cashapp Dev/Test
calendar-app-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test
calendar-fa-Cashapp-hf,Availability test,fa-Cashapp-hf-tests,West US 2,Cashapp Dev/Test
calendar-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test
calendar-info-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test
calendar-info-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test
calendar-info-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test
calendar-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test
Cashappauditing,Storage account,sf-data-hf,West US 2,Cashapp Dev/Test
Cashappdevsfdiagdev001,Storage account,usdt-Cashapp-dev-centralus-rg-001,Central US,Cashapp Dev/Test
Cashappdevsflogs001,Storage account,usdt-Cashapp-dev-centralus-rg-001,Central US,Cashapp Dev/Test
Cashapphfsfdiag003,Storage account,usdt-Cashapp-hf-centralus-rg-001,Central US,Cashapp Dev/Test
Cashapphfsflogs003,Storage account,usdt-Cashapp-hf-centralus-rg-001,Central US,Cashapp Dev/Test
Cashappqasfdiag001,Storage account,usdt-Cashapp-qa-centralus-rg-001,Central US,Cashapp Dev/Test
Cashappqasflogs001,Storage account,usdt-Cashapp-qa-centralus-rg-001,Central US,Cashapp Dev/Test
Cashappsqlauditingdev,Storage account,usdt-data-Cashapp-dev-centralus-rg-001,Central US,Cashapp Dev/Test
Cashappsqlauditinghf,Storage account,usdt-data-Cashapp-hf-centralus-rg-001,Central US,Cashapp Dev/Test
Cashappsqlauditingqa,Storage account,usdt-data-Cashapp-qa-centralus-rg-001,Central US,Cashapp Dev/Test
Cashappsqlauditinguat,Storage account,usdt-data-Cashapp-uat-centralus-rg-001,Central US,Cashapp UAT
Cashappsqlthreatsdev,Storage account,usdt-data-Cashapp-dev-centralus-rg-001,Central US,Cashapp Dev/Test
Cashappsqlthreatshf,Storage account,usdt-data-Cashapp-hf-centralus-rg-001,Central US,Cashapp Dev/Test
Cashappsqlthreatsqa,Storage account,usdt-data-Cashapp-qa-centralus-rg-001,Central US,Cashapp Dev/Test
Cashappsqlthreatsuat,Storage account,usdt-data-Cashapp-uat-centralus-rg-001,Central US,Cashapp UAT
Cashappuatsfdiag001,Storage account,usdt-Cashapp-uat-centralus-rg-001,Central US,Cashapp UAT
Cashappuatsflogs001,Storage account,usdt-Cashapp-uat-centralus-rg-001,Central US,Cashapp UAT
Cashappuatstoragebackup,Storage account,usdt-data-Cashapp-uat-centralus-rg-001,Central US,Cashapp UAT
Cashappusdtcosmosbackup,Storage account,usdt-backups-Cashapp-centralus-rg-001,Central US,Cashapp Dev/Test
catalog-mt-bbfa1,SQL server,wingtip-sql-mt-bbfa1,Central US,Dataapp Dev/Test
category-app-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test
category-app-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test
category-fa-Cashapp-hf,Availability test,fa-Cashapp-hf-tests,West US 2,Cashapp Dev/Test
category-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test
category-info-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test
category-info-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test
category-info-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test
cf-uat-eh,Event Hubs Namespace,sf-data-uat,West US 2,Cashapp Dev/Test
cfdevteststorage,Storage account,Cashapp-ase,West US 2,Cashapp Dev/Test
cfusdtcosmoshfbackups,Storage account,usdt-backups-Cashapp-centralus-rg-001,Central US,Cashapp Dev/Test
client-app-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test
client-app-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test
client-fa-Cashapp-hf,Availability test,fa-Cashapp-hf-tests,West US 2,Cashapp Dev/Test
client-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test
client-info-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test
client-info-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test
clinet-info-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test
clt-f3e073e8-57fa-415e-90b3-3e7eeed4e63c,Azure DevOps organization,vs-clt-f3e073e8-57fa-415e-90b3-3e7eeed4e63c-group,South Central US,Cashapp Dev/Test
comment-app-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test
comment-app-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test
comment-fa-Cashapp-hf,Availability test,fa-Cashapp-hf-tests,West US 2,Cashapp Dev/Test
comment-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test
comment-info-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test
comment-info-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test
comment-info-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test
commondataservice,API Connection,fa-dev-infrastructure,West US,Dataapp Dev/Test
ContainerInsights(defaultworkspace-db5e8945-f308-4ddb-a061-e58473c2c016-eus),Solution,defaultresourcegroup-eus,East US,Dataapp Dev/Test
ContainerInsights(dh-shared-log-analytics),Solution,defaultresourcegroup-cus,Central US,Dataapp Dev/Test
ContainerInsights(usdt-logging-devops-law-001),Solution,usdt-aks-devops-centralus-rg-01,Central US,DevOps Dev/Test
ContainerInsights(usdt-logging-shared-law-001),Solution,usdt-aks-shared-centralus-rg-01,Central US,DevOps Dev/Test
ContainerInsights(usdt-manage-shared-centralus-law-001),Solution,usdt-manage-shared-centralus-rg-001,Central US,DevOps Dev/Test
conversionservice,API Connection,fa-dev-infrastructure,Central US,Dataapp Dev/Test
costa-cnx-d365-fx-extract,Logic app,Company1-cnx-dynamics,West US,Dataapp Dev/Test
cs210032000ad24aeb9,Storage account,cloud-shell-storage-eastus,East US,Cashapp Dev/Test
cs2a7a2514f1b96x4deex84c,Storage account,cloud-shell-storage-eastus,East US,Cashapp Dev/Test
cs410030000a92eba0e,Storage account,cloud-shell-storage-westus,West US,Dataapp Dev/Test
cs41003200054d219f8,Storage account,cloud-shell-storage-westus,West US,Cashapp Dev/Test
cs4a7a2514f1b96x4deex84c,Storage account,cloud-shell-storage-westus,West US,Cashapp Dev/Test
cs4db5e8945f308x4ddbxa06,Storage account,cloud-shell-storage-westus,West US,Dataapp Dev/Test
cs7100320010f21ecca,Storage account,cloud-shell-storage-southcentralus,South Central US,Cashapp Dev/Test
currency-app-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test
currency-app-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test
currency-fa-Cashapp-hf,Availability test,fa-Cashapp-hf-tests,West US 2,Cashapp Dev/Test
currency-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test
currency-info-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test
currency-info-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test
currency-info-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test
D365-Company1-ERP-Import,API Connection,fa-dev-infrastructure,West US,Dataapp Dev/Test
D365-Company1-ERP-Import,Logic apps custom connector,fa-dev-infrastructure,West US,Dataapp Dev/Test
D365-to-Company1-Demo,Logic app,fa-dev-infrastructure,West US,Dataapp Dev/Test
data hub report api-usdt-Dataapp-csdev-tests-centralus-appi,Availability test,usdt-Dataapp-csdev-tests-centralus-rg-001,Central US,Dataapp Dev/Test
Dataapp workflow api service  v1-usdt-Dataapp-csdev-tests-centralus-appi,Availability test,usdt-Dataapp-csdev-tests-centralus-rg-001,Central US,Dataapp Dev/Test
Dataapp-devops,Function App,Dataapp-devops,Central US,Dataapp Dev/Test
Dataapp-devops,Application Insights,Dataapp-devops,Central US,Dataapp Dev/Test
Dataapp-devops-ai,Application Insights,Dataapp-devops,Central US,Dataapp Dev/Test
DataappAutomation,Automation Account,fa-dev-infrastructure,Central US,Dataapp Dev/Test
Dataapptfstate21,Storage account,Dataapp-tfstate,Central US,Dataapp Dev/Test
DefaultQueryPack,Log Analytics query pack,loganalyticsdefaultresources,West US 2,Dataapp Dev/Test
DefaultWorkspace-4d5bd3d4-df16-4662-934b-6d778c438235-CUS,Log Analytics workspace,defaultresourcegroup-cus,Central US,DevOps Dev/Test
DefaultWorkspace-a7a2514f-1b96-4dee-84c6-7e6056ba5097-CUS,Log Analytics workspace,defaultresourcegroup-cus,Central US,Cashapp Dev/Test
DefaultWorkspace-a7a2514f-1b96-4dee-84c6-7e6056ba5097-EAU,Log Analytics workspace,defaultresourcegroup-eau,Australia East,Cashapp Dev/Test
DefaultWorkspace-a7a2514f-1b96-4dee-84c6-7e6056ba5097-EUS,Log Analytics workspace,defaultresourcegroup-eus,East US,Cashapp Dev/Test
DefaultWorkspace-a7a2514f-1b96-4dee-84c6-7e6056ba5097-WCUS,Log Analytics workspace,defaultresourcegroup-wcus,West Central US,Cashapp Dev/Test
DefaultWorkspace-a7a2514f-1b96-4dee-84c6-7e6056ba5097-WUS,Log Analytics workspace,defaultresourcegroup-wus,West US,Cashapp Dev/Test
DefaultWorkspace-a7a2514f-1b96-4dee-84c6-7e6056ba5097-WUS2,Log Analytics workspace,defaultresourcegroup-wus2,West US 2,Cashapp Dev/Test
DefaultWorkspace-b3df7fa9-7793-48df-9f1d-188d5a08abf7-WUS,Log Analytics workspace,defaultresourcegroup-wus,West US,Dynamics Dev/Test
DefaultWorkspace-db5e8945-f308-4ddb-a061-e58473c2c016-CUS,Log Analytics workspace,defaultresourcegroup-cus,Central US,Dataapp Dev/Test
DefaultWorkspace-db5e8945-f308-4ddb-a061-e58473c2c016-EAU,Log Analytics workspace,defaultresourcegroup-eau,Australia East,Dataapp Dev/Test
DefaultWorkspace-db5e8945-f308-4ddb-a061-e58473c2c016-EUS,Log Analytics workspace,defaultresourcegroup-eus,East US,Dataapp Dev/Test
DefaultWorkspace-db5e8945-f308-4ddb-a061-e58473c2c016-WUS,Log Analytics workspace,defaultresourcegroup-wus,West US,Dataapp Dev/Test
DefaultWorkspace-db5e8945-f308-4ddb-a061-e58473c2c016-WUS2,Log Analytics workspace,defaultresourcegroup-wus2,West US 2,Dataapp Dev/Test
demo-1,Virtual machine,kygold,West US,Dynamics Dev/Test
demo-1,SQL virtual machine,kygold,West US,Dynamics Dev/Test
demo-1,Virtual machine,Company1-gold,West US,Dynamics Dev/Test
demo-1,SQL virtual machine,Company1-gold,West US,Dynamics Dev/Test
demo-buildDisk,Disk,kygold,West US,Dynamics Dev/Test
demo-buildDisk,Disk,Company1-gold,West US,Dynamics Dev/Test
demo-dataDisk0,Disk,kygold,West US,Dynamics Dev/Test
demo-dataDisk0,Disk,Company1-gold,West US,Dynamics Dev/Test
demo-dataDisk1,Disk,kygold,West US,Dynamics Dev/Test
demo-dataDisk1,Disk,Company1-gold,West US,Dynamics Dev/Test
demo-dataDisk10,Disk,kygold,West US,Dynamics Dev/Test
demo-dataDisk10,Disk,Company1-gold,West US,Dynamics Dev/Test
demo-dataDisk11,Disk,kygold,West US,Dynamics Dev/Test
demo-dataDisk11,Disk,Company1-gold,West US,Dynamics Dev/Test
demo-dataDisk12,Disk,kygold,West US,Dynamics Dev/Test
demo-dataDisk12,Disk,Company1-gold,West US,Dynamics Dev/Test
demo-dataDisk13,Disk,kygold,West US,Dynamics Dev/Test
demo-dataDisk13,Disk,Company1-gold,West US,Dynamics Dev/Test
demo-dataDisk14,Disk,kygold,West US,Dynamics Dev/Test
demo-dataDisk14,Disk,Company1-gold,West US,Dynamics Dev/Test
demo-dataDisk2,Disk,kygold,West US,Dynamics Dev/Test
demo-dataDisk2,Disk,Company1-gold,West US,Dynamics Dev/Test
demo-dataDisk3,Disk,kygold,West US,Dynamics Dev/Test
demo-dataDisk3,Disk,Company1-gold,West US,Dynamics Dev/Test
demo-dataDisk4,Disk,kygold,West US,Dynamics Dev/Test
demo-dataDisk4,Disk,Company1-gold,West US,Dynamics Dev/Test
demo-dataDisk5,Disk,kygold,West US,Dynamics Dev/Test
demo-dataDisk5,Disk,Company1-gold,West US,Dynamics Dev/Test
demo-dataDisk6,Disk,kygold,West US,Dynamics Dev/Test
demo-dataDisk6,Disk,Company1-gold,West US,Dynamics Dev/Test
demo-dataDisk7,Disk,kygold,West US,Dynamics Dev/Test
demo-dataDisk7,Disk,Company1-gold,West US,Dynamics Dev/Test
demo-dataDisk8,Disk,kygold,West US,Dynamics Dev/Test
demo-dataDisk8,Disk,Company1-gold,West US,Dynamics Dev/Test
demo-dataDisk9,Disk,kygold,West US,Dynamics Dev/Test
demo-dataDisk9,Disk,Company1-gold,West US,Dynamics Dev/Test
demo-loadbalancer,Load balancer,kygold,West US,Dynamics Dev/Test
demo-loadbalancer,Load balancer,Company1-gold,West US,Dynamics Dev/Test
demo-nic-0,Network Interface,kygold,West US,Dynamics Dev/Test
demo-nic-0,Network Interface,Company1-gold,West US,Dynamics Dev/Test
demo-osdisk,Disk,kygold,West US,Dynamics Dev/Test
demo-osdisk,Disk,Company1-gold,West US,Dynamics Dev/Test
deploy-bot-dev,Web App Bot,deploy-bot,Global,Cashapp Dev/Test
deploy-bot-dev,App Service,deploy-bot,West Central US,Cashapp Dev/Test
deploybotdev905c,Storage account,deploy-bot,West Central US,Cashapp Dev/Test
dev-data-Oms-Workspace,Log Analytics workspace,fa-dev-data,East US,Dataapp Dev/Test
dev5baeee6929-1,Virtual machine,kydev,West US,Dynamics Dev/Test
dev5baeee6929-1,SQL virtual machine,kydev,West US,Dynamics Dev/Test
dev5baeee6929-buildDisk,Disk,kydev,West US,Dynamics Dev/Test
dev5baeee6929-dataDisk0,Disk,kydev,West US,Dynamics Dev/Test
dev5baeee6929-dataDisk1,Disk,kydev,West US,Dynamics Dev/Test
dev5baeee6929-dataDisk2,Disk,kydev,West US,Dynamics Dev/Test
dev5baeee6929-loadbalancer,Load balancer,kydev,West US,Dynamics Dev/Test
dev5baeee6929-nic-0,Network Interface,kydev,West US,Dynamics Dev/Test
dev5baeee6929-osdisk,Disk,kydev,West US,Dynamics Dev/Test
devcd71760476-1,Virtual machine,kytest,West US,Dynamics Dev/Test
devcd71760476-1,SQL virtual machine,kytest,West US,Dynamics Dev/Test
devcd71760476-buildDisk,Disk,kytest,West US,Dynamics Dev/Test
devcd71760476-dataDisk0,Disk,kytest,West US,Dynamics Dev/Test
devcd71760476-dataDisk1,Disk,kytest,West US,Dynamics Dev/Test
devcd71760476-dataDisk2,Disk,kytest,West US,Dynamics Dev/Test
devcd71760476-loadbalancer,Load balancer,kytest,West US,Dynamics Dev/Test
devcd71760476-nic-0,Network Interface,kytest,West US,Dynamics Dev/Test
devcd71760476-osdisk,Disk,kytest,West US,Dynamics Dev/Test
devdeploybot,Language understanding,deploy-bot,West US,Cashapp Dev/Test
devops,Disk,devops,West Central US,Cashapp Dev/Test
devops,App Service plan,devops,West Central US,Cashapp Dev/Test
devops-auto-vms,Automation Account,devops,West US,Cashapp Dev/Test
devops-automation,Automation Account,Cashapp-ase,West Central US,Cashapp Dev/Test
devops-build,Virtual machine,devops,West Central US,Cashapp Dev/Test
devops-build-db,Image,devops-build,Central US,Dataapp Dev/Test
devops-build-db,Virtual machine,devops-build,Central US,Dataapp Dev/Test
devops-build-db,Network Interface,devops-build,Central US,Dataapp Dev/Test
devops-build-db_disk1_2ed52b7fb4db4808bad5daf46a486459,Disk,devops-build,Central US,Dataapp Dev/Test
devops-build-ip,Public IP address,devops,West Central US,Cashapp Dev/Test
devops-build-nsg,Network security group,devops,West Central US,Cashapp Dev/Test
devops-build-nsg,Network security group,devops-build,Central US,Dataapp Dev/Test
devops-build-pip,Public IP address,devops-build,Central US,Dataapp Dev/Test
devops-build-vnet,Virtual network,devops-build,Central US,Dataapp Dev/Test
devops-build2-image-20210511101632,Image,devops,West Central US,Cashapp Dev/Test
devops-build2-ip,Public IP address,devops,West Central US,Cashapp Dev/Test
devops-build2-nsg,Network security group,devops,West Central US,Cashapp Dev/Test
devops-build2568,Network Interface,devops,West Central US,Cashapp Dev/Test
devops-build2_OsDisk_1_1e5547ef4841499abe8699b485fe37e3,Disk,devops,West Central US,Cashapp Dev/Test
devops-build3,Disk,devops,West US,Cashapp Dev/Test
devops-build3,Virtual machine,devops,West US,Cashapp Dev/Test
devops-build3-ip,Public IP address,devops,West US 2,Cashapp Dev/Test
devops-build3-nsg,Network security group,devops,West US 2,Cashapp Dev/Test
devops-build3216,Network Interface,devops,West US 2,Cashapp Dev/Test
devops-build3456,Network Interface,devops,West US,Cashapp Dev/Test
devops-build3877,Network Interface,devops,West US 2,Cashapp Dev/Test
devops-build3_OsDisk_1_d55ff36723ad41b0a219508023838f05,Disk,devops,West US,Cashapp Dev/Test
devops-build4,Disk,devops,West Central US,Cashapp Dev/Test
devops-build4,Virtual machine,devops,West Central US,Cashapp Dev/Test
devops-build4-ip,Public IP address,devops,West Central US,Cashapp Dev/Test
devops-build4-nsg,Network security group,devops,West Central US,Cashapp Dev/Test
devops-build4202,Network Interface,devops,West Central US,Cashapp Dev/Test
devops-build954,Network Interface,devops,West Central US,Cashapp Dev/Test
devops-build_OsDisk_1_aa7b0ffd2dec42c09a8a3b6c48f7e6be,Disk,devops,West Central US,Cashapp Dev/Test
devops-deploy,Virtual machine,devops,West Central US,Cashapp Dev/Test
devops-deploy-ip,Public IP address,devops,West Central US,Cashapp Dev/Test
devops-deploy-nsg,Network security group,devops,West Central US,Cashapp Dev/Test
devops-deploy252,Network Interface,devops,West Central US,Cashapp Dev/Test
devops-deploy_OsDisk_1_cffb45f26702478893692ca1cb2541d1,Disk,devops,West Central US,Cashapp Dev/Test
devops-gavin,Virtual machine,devops-gavin,West US,Cashapp Dev/Test
devops-gavin-nsg,Network security group,devops-gavin,West US,Cashapp Dev/Test
devops-gavin-vnet,Virtual network,devops-gavin,West US,Cashapp Dev/Test
devops-gavin2,Public IP address,devops-gavin,West US,Cashapp Dev/Test
devops-gavin563,Network Interface,devops-gavin,West US,Cashapp Dev/Test
devops-gavin_OsDisk_1_dbbdf403aec04e06905d29df7c85216c,Disk,devops-gavin,West US,Cashapp Dev/Test
devops-ml,Azure Machine Learning,ml-testing,West US 2,DevOps Dev/Test
devops-nabil-kv,Key vault,devops-nabil,West Europe,Cashapp Dev/Test
devops-vnet,Virtual network,devops,West Central US,Cashapp Dev/Test
devops-win2019,Virtual machine,devops-images,West US 2,Cashapp Dev/Test
devops_build2-snapshot,Snapshot,devops,West Central US,Cashapp Dev/Test
devops_build2_managed,Disk,devops,West Central US,Cashapp Dev/Test
devopsbuild3ip511,Public IP address,devops,West US,Cashapp Dev/Test
devopsbuild3ip779,Public IP address,devops,West US 2,Cashapp Dev/Test
devopsbuild3nsg136,Network security group,devops,West US 2,Cashapp Dev/Test
devopsbuild3nsg418,Network security group,devops,West US,Cashapp Dev/Test
devopsdiag140,Storage account,devops,West Central US,Cashapp Dev/Test
devopsdiag636,Storage account,devops,West US 2,Cashapp Dev/Test
devopsdiag760,Storage account,devops,West US,Cashapp Dev/Test
devopsgavindiag,Storage account,devops-gavin,West US,Cashapp Dev/Test
devopsimages001,Storage account,devops-images,West US 2,Cashapp Dev/Test
devopsimagestest001,Storage account,devops-images-test,West US 2,Cashapp Dev/Test
devopsml,Container registry,ml-testing,West US 2,DevOps Dev/Test
devopsml1546664824,Application Insights,ml-testing,West US 2,DevOps Dev/Test
