NAME,TYPE,RESOURCE GROUP,LOCATION,SUBSCRIPTION,,LMCOST
AutoStop_CreateAlert_Child (devops-auto-vms/AutoStop_CreateAlert_Child),Runbook,devops,West US,Cashapp Dev/Test,,20
AutoStop_CreateAlert_Parent (devops-auto-vms/AutoStop_CreateAlert_Parent),Runbook,devops,West US,Cashapp Dev/Test,,20
AutoStop_Disable (devops-auto-vms/AutoStop_Disable),Runbook,devops,West US,Cashapp Dev/Test,,20
AutoStop_VM_Child (devops-auto-vms/AutoStop_VM_Child),Runbook,devops,West US,Cashapp Dev/Test,,20
AutoStop_VM_Child_ARM (devops-auto-vms/AutoStop_VM_Child_ARM),Runbook,devops,West US,Cashapp Dev/Test,,20
AzureBackup_fa-dev-sftp_193515387258708,Restore Point Collection,azurebackuprg_centralus_1,Central US,Dataapp Dev/Test,,44
AzureBackup_fa-qa-sftp_193516057751956,Restore Point Collection,azurebackuprg_centralus_1,Central US,Dataapp Dev/Test,,23
AzureBackup_fa-uat-sftp_193515675542273,Restore Point Collection,azurebackuprg_centralus_1,Central US,Dataapp Dev/Test,,23
azureblob,API Connection,tr_dss,West US,Cashapp Dev/Test,,0
azureblob,API Connection,la-platform-orchestrator,West US 2,Cashapp Dev/Test,,0
azureblob,API Connection,fa-dev-infrastructure,West US,Dataapp Dev/Test,,0
azureblob,API Connection,fa-dev-logic,Central US,Dataapp Dev/Test,,0
azureblob,API Connection,fa-qa-logic,Central US,Dataapp Dev/Test,,0
azureblob,API Connection,fa-uat-logic,Central US,Dataapp Dev/Test,,0
azureblob,API Connection,ky-hilton-wf,Central US,Dataapp Dev/Test,,0
azureblob,API Connection,Company1-cnx-dynamics,West US,Dataapp Dev/Test,,0
azureblob,API Connection,Company1-cnx-infor,West Central US,Dataapp Dev/Test,,0
azureblob,API Connection,la-platform-orchestrator,West US 2,Dataapp Dev/Test,,0
azureblob,API Connection,pbi-deployment-rg,West US,Dataapp Dev/Test,,0
azureblob-1,API Connection,Company1-cnx-infor,West US,Dataapp Dev/Test,,33
AzureFirewallPIP,Public IP address,usdt-manage-shared-centralus-rg-001,Central US,DevOps Dev/Test,,55
AzureSQLAnalytics(fadhsqlserverdev-law),Solution,fa-dev-data,Central US,Dataapp Dev/Test,,0
azuretables,API Connection,Company1-cnx-dynamics,West US,Dataapp Dev/Test,,0
basetenantdb (catalog-mt-bbfa1/basetenantdb),SQL database,wingtip-sql-mt-bbfa1,Central US,Dataapp Dev/Test,,20
bd31cbc6-2174-4342-9e21-e70b2f99166b-dashboard (dh-qa-IngestionEngine Dashboard),Shared dashboard,fa-qa-api,West US 2,Dataapp Dev/Test,,0
blob.core.windows.net,Private DNS zone,fa-qa-sftp-rg-001,Global,Dataapp Dev/Test,,0
ca-frontend-qa,App Service,ca-qa,West US 2,Cashapp Dev/Test,,0
ca-frontend-test,App Service,ca-test,West US 2,Cashapp Dev/Test,,111
ca-frontend-uat,App Service,ca-uat,West US 2,Cashapp Dev/Test,,67
ca-portal-combined,App Service,ca-node-test,West Central US,Cashapp Dev/Test,,23
ca-portal-qa,App Service,ca-qa,West US 2,Cashapp Dev/Test,,35
ca-portal-test,App Service,ca-test,West US 2,Cashapp Dev/Test,,66
ca-portal-uat,App Service,ca-uat,West US 2,Cashapp Dev/Test,,40
cadevstorage3321,Storage account,ca-dev,West US,Cashapp Dev/Test,,40
calendar-app-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,,40
calendar-fa-Cashapp-hf,Availability test,fa-Cashapp-hf-tests,West US 2,Cashapp Dev/Test,,40
calendar-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,,40
calendar-info-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,,40
calendar-info-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,,40
calendar-info-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,,40
calendar-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,,40
Cashappauditing,Storage account,sf-data-hf,West US 2,Cashapp Dev/Test,,40
Cashappdevsfdiagdev001,Storage account,usdt-Cashapp-dev-centralus-rg-001,Central US,Cashapp Dev/Test,,40
Cashappdevsflogs001,Storage account,usdt-Cashapp-dev-centralus-rg-001,Central US,Cashapp Dev/Test,,10
Cashapphfsfdiag003,Storage account,usdt-Cashapp-hf-centralus-rg-001,Central US,Cashapp Dev/Test,,49.47
Cashapphfsflogs003,Storage account,usdt-Cashapp-hf-centralus-rg-001,Central US,Cashapp Dev/Test,,49.47
Cashappqasfdiag001,Storage account,usdt-Cashapp-qa-centralus-rg-001,Central US,Cashapp Dev/Test,,49.47
Cashappqasflogs001,Storage account,usdt-Cashapp-qa-centralus-rg-001,Central US,Cashapp Dev/Test,,49.47
Cashappsqlauditingdev,Storage account,usdt-data-Cashapp-dev-centralus-rg-001,Central US,Cashapp Dev/Test,,49.47
Cashappsqlauditinghf,Storage account,usdt-data-Cashapp-hf-centralus-rg-001,Central US,Cashapp Dev/Test,,49.47
Cashappsqlauditingqa,Storage account,usdt-data-Cashapp-qa-centralus-rg-001,Central US,Cashapp Dev/Test,,99.95
Cashappsqlauditinguat,Storage account,usdt-data-Cashapp-uat-centralus-rg-001,Central US,Cashapp UAT,,49.47
Cashappsqlthreatsdev,Storage account,usdt-data-Cashapp-dev-centralus-rg-001,Central US,Cashapp Dev/Test,,49.47
Cashappsqlthreatshf,Storage account,usdt-data-Cashapp-hf-centralus-rg-001,Central US,Cashapp Dev/Test,,49.47
Cashappsqlthreatsqa,Storage account,usdt-data-Cashapp-qa-centralus-rg-001,Central US,Cashapp Dev/Test,,135.15
Cashappsqlthreatsuat,Storage account,usdt-data-Cashapp-uat-centralus-rg-001,Central US,Cashapp UAT,,138
Cashappuatsfdiag001,Storage account,usdt-Cashapp-uat-centralus-rg-001,Central US,Cashapp UAT,,99
Cashappuatsflogs001,Storage account,usdt-Cashapp-uat-centralus-rg-001,Central US,Cashapp UAT,,135.15
Cashappuatstoragebackup,Storage account,usdt-data-Cashapp-uat-centralus-rg-001,Central US,Cashapp UAT,,55
Cashappusdtcosmosbackup,Storage account,usdt-backups-Cashapp-centralus-rg-001,Central US,Cashapp Dev/Test,,5
catalog-mt-bbfa1,SQL server,wingtip-sql-mt-bbfa1,Central US,Dataapp Dev/Test,,5
category-app-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,,5
category-app-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,,5
category-fa-Cashapp-hf,Availability test,fa-Cashapp-hf-tests,West US 2,Cashapp Dev/Test,,5
category-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,,5
category-info-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,,5
category-info-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,,50
category-info-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,,50
cf-uat-eh,Event Hubs Namespace,sf-data-uat,West US 2,Cashapp Dev/Test,,50
cfdevteststorage,Storage account,Cashapp-ase,West US 2,Cashapp Dev/Test,,50
cfusdtcosmoshfbackups,Storage account,usdt-backups-Cashapp-centralus-rg-001,Central US,Cashapp Dev/Test,,225
client-app-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,,0
client-app-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,,15
client-fa-Cashapp-hf,Availability test,fa-Cashapp-hf-tests,West US 2,Cashapp Dev/Test,,0
client-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,,0
client-info-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,,0
client-info-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,,0
clinet-info-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,,20
clt-f3e073e8-57fa-415e-90b3-3e7eeed4e63c,Azure DevOps organization,vs-clt-f3e073e8-57fa-415e-90b3-3e7eeed4e63c-group,South Central US,Cashapp Dev/Test,,20
comment-app-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,,20
comment-app-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,,20
comment-fa-Cashapp-hf,Availability test,fa-Cashapp-hf-tests,West US 2,Cashapp Dev/Test,,20
comment-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,,20
comment-info-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,,20
comment-info-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,,44
comment-info-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,,23
commondataservice,API Connection,fa-dev-infrastructure,West US,Dataapp Dev/Test,,23
ContainerInsights(defaultworkspace-db5e8945-f308-4ddb-a061-e58473c2c016-eus),Solution,defaultresourcegroup-eus,East US,Dataapp Dev/Test,,0
ContainerInsights(dh-shared-log-analytics),Solution,defaultresourcegroup-cus,Central US,Dataapp Dev/Test,,0
ContainerInsights(usdt-logging-devops-law-001),Solution,usdt-aks-devops-centralus-rg-01,Central US,DevOps Dev/Test,,0
ContainerInsights(usdt-logging-shared-law-001),Solution,usdt-aks-shared-centralus-rg-01,Central US,DevOps Dev/Test,,0
ContainerInsights(usdt-manage-shared-centralus-law-001),Solution,usdt-manage-shared-centralus-rg-001,Central US,DevOps Dev/Test,,0
conversionservice,API Connection,fa-dev-infrastructure,Central US,Dataapp Dev/Test,,0
costa-cnx-d365-fx-extract,Logic app,Company1-cnx-dynamics,West US,Dataapp Dev/Test,,0
cs210032000ad24aeb9,Storage account,cloud-shell-storage-eastus,East US,Cashapp Dev/Test,,0
cs2a7a2514f1b96x4deex84c,Storage account,cloud-shell-storage-eastus,East US,Cashapp Dev/Test,,0
cs410030000a92eba0e,Storage account,cloud-shell-storage-westus,West US,Dataapp Dev/Test,,0
cs41003200054d219f8,Storage account,cloud-shell-storage-westus,West US,Cashapp Dev/Test,,0
cs4a7a2514f1b96x4deex84c,Storage account,cloud-shell-storage-westus,West US,Cashapp Dev/Test,,33
cs4db5e8945f308x4ddbxa06,Storage account,cloud-shell-storage-westus,West US,Dataapp Dev/Test,,55
cs7100320010f21ecca,Storage account,cloud-shell-storage-southcentralus,South Central US,Cashapp Dev/Test,,0
currency-app-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,,0
currency-app-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,,20
currency-fa-Cashapp-hf,Availability test,fa-Cashapp-hf-tests,West US 2,Cashapp Dev/Test,,0
currency-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,,0
currency-info-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,,0
currency-info-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,,111
currency-info-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,,67
D365-Company1-ERP-Import,API Connection,fa-dev-infrastructure,West US,Dataapp Dev/Test,,23
D365-Company1-ERP-Import,Logic apps custom connector,fa-dev-infrastructure,West US,Dataapp Dev/Test,,35
D365-to-Company1-Demo,Logic app,fa-dev-infrastructure,West US,Dataapp Dev/Test,,66
data hub report api-usdt-Dataapp-csdev-tests-centralus-appi,Availability test,usdt-Dataapp-csdev-tests-centralus-rg-001,Central US,Dataapp Dev/Test,,40
Dataapp workflow api service  v1-usdt-Dataapp-csdev-tests-centralus-appi,Availability test,usdt-Dataapp-csdev-tests-centralus-rg-001,Central US,Dataapp Dev/Test,,40
Dataapp-devops,Function App,Dataapp-devops,Central US,Dataapp Dev/Test,,40
Dataapp-devops,Application Insights,Dataapp-devops,Central US,Dataapp Dev/Test,,40
Dataapp-devops-ai,Application Insights,Dataapp-devops,Central US,Dataapp Dev/Test,,40
DataappAutomation,Automation Account,fa-dev-infrastructure,Central US,Dataapp Dev/Test,,40
Dataapptfstate21,Storage account,Dataapp-tfstate,Central US,Dataapp Dev/Test,,40
DefaultQueryPack,Log Analytics query pack,loganalyticsdefaultresources,West US 2,Dataapp Dev/Test,,40
DefaultWorkspace-4d5bd3d4-df16-4662-934b-6d778c438235-CUS,Log Analytics workspace,defaultresourcegroup-cus,Central US,DevOps Dev/Test,,40
DefaultWorkspace-a7a2514f-1b96-4dee-84c6-7e6056ba5097-CUS,Log Analytics workspace,defaultresourcegroup-cus,Central US,Cashapp Dev/Test,,40
DefaultWorkspace-a7a2514f-1b96-4dee-84c6-7e6056ba5097-EAU,Log Analytics workspace,defaultresourcegroup-eau,Australia East,Cashapp Dev/Test,,40
DefaultWorkspace-a7a2514f-1b96-4dee-84c6-7e6056ba5097-EUS,Log Analytics workspace,defaultresourcegroup-eus,East US,Cashapp Dev/Test,,10
DefaultWorkspace-a7a2514f-1b96-4dee-84c6-7e6056ba5097-WCUS,Log Analytics workspace,defaultresourcegroup-wcus,West Central US,Cashapp Dev/Test,,49.47
DefaultWorkspace-a7a2514f-1b96-4dee-84c6-7e6056ba5097-WUS,Log Analytics workspace,defaultresourcegroup-wus,West US,Cashapp Dev/Test,,49.47
DefaultWorkspace-a7a2514f-1b96-4dee-84c6-7e6056ba5097-WUS2,Log Analytics workspace,defaultresourcegroup-wus2,West US 2,Cashapp Dev/Test,,49.47
DefaultWorkspace-b3df7fa9-7793-48df-9f1d-188d5a08abf7-WUS,Log Analytics workspace,defaultresourcegroup-wus,West US,Dynamics Dev/Test,,49.47
DefaultWorkspace-db5e8945-f308-4ddb-a061-e58473c2c016-CUS,Log Analytics workspace,defaultresourcegroup-cus,Central US,Dataapp Dev/Test,,49.47
DefaultWorkspace-db5e8945-f308-4ddb-a061-e58473c2c016-EAU,Log Analytics workspace,defaultresourcegroup-eau,Australia East,Dataapp Dev/Test,,49.47
DefaultWorkspace-db5e8945-f308-4ddb-a061-e58473c2c016-EUS,Log Analytics workspace,defaultresourcegroup-eus,East US,Dataapp Dev/Test,,99.95
DefaultWorkspace-db5e8945-f308-4ddb-a061-e58473c2c016-WUS,Log Analytics workspace,defaultresourcegroup-wus,West US,Dataapp Dev/Test,,49.47
DefaultWorkspace-db5e8945-f308-4ddb-a061-e58473c2c016-WUS2,Log Analytics workspace,defaultresourcegroup-wus2,West US 2,Dataapp Dev/Test,,49.47
demo-1,Virtual machine,kygold,West US,Dynamics Dev/Test,,49.47
demo-1,SQL virtual machine,kygold,West US,Dynamics Dev/Test,,135.15
demo-1,Virtual machine,Company1-gold,West US,Dynamics Dev/Test,,138
demo-1,SQL virtual machine,Company1-gold,West US,Dynamics Dev/Test,,99
demo-buildDisk,Disk,kygold,West US,Dynamics Dev/Test,,135.15
demo-buildDisk,Disk,Company1-gold,West US,Dynamics Dev/Test,,55
demo-dataDisk0,Disk,kygold,West US,Dynamics Dev/Test,,5
demo-dataDisk0,Disk,Company1-gold,West US,Dynamics Dev/Test,,5
demo-dataDisk1,Disk,kygold,West US,Dynamics Dev/Test,,5
demo-dataDisk1,Disk,Company1-gold,West US,Dynamics Dev/Test,,5
demo-dataDisk10,Disk,kygold,West US,Dynamics Dev/Test,,5
demo-dataDisk10,Disk,Company1-gold,West US,Dynamics Dev/Test,,5
demo-dataDisk11,Disk,kygold,West US,Dynamics Dev/Test,,5
demo-dataDisk11,Disk,Company1-gold,West US,Dynamics Dev/Test,,50
demo-dataDisk12,Disk,kygold,West US,Dynamics Dev/Test,,50
demo-dataDisk12,Disk,Company1-gold,West US,Dynamics Dev/Test,,50
demo-dataDisk13,Disk,kygold,West US,Dynamics Dev/Test,,50
demo-dataDisk13,Disk,Company1-gold,West US,Dynamics Dev/Test,,225
demo-dataDisk14,Disk,kygold,West US,Dynamics Dev/Test,,0
demo-dataDisk14,Disk,Company1-gold,West US,Dynamics Dev/Test,,15
demo-dataDisk2,Disk,kygold,West US,Dynamics Dev/Test,,0
demo-dataDisk2,Disk,Company1-gold,West US,Dynamics Dev/Test,,0
demo-dataDisk3,Disk,kygold,West US,Dynamics Dev/Test,,0
demo-dataDisk3,Disk,Company1-gold,West US,Dynamics Dev/Test,,0
demo-dataDisk4,Disk,kygold,West US,Dynamics Dev/Test,,20
demo-dataDisk4,Disk,Company1-gold,West US,Dynamics Dev/Test,,20
demo-dataDisk5,Disk,kygold,West US,Dynamics Dev/Test,,20
demo-dataDisk5,Disk,Company1-gold,West US,Dynamics Dev/Test,,20
demo-dataDisk6,Disk,kygold,West US,Dynamics Dev/Test,,20
demo-dataDisk6,Disk,Company1-gold,West US,Dynamics Dev/Test,,20
demo-dataDisk7,Disk,kygold,West US,Dynamics Dev/Test,,20
demo-dataDisk7,Disk,Company1-gold,West US,Dynamics Dev/Test,,44
demo-dataDisk8,Disk,kygold,West US,Dynamics Dev/Test,,23
demo-dataDisk8,Disk,Company1-gold,West US,Dynamics Dev/Test,,23
demo-dataDisk9,Disk,kygold,West US,Dynamics Dev/Test,,0
demo-dataDisk9,Disk,Company1-gold,West US,Dynamics Dev/Test,,0
demo-loadbalancer,Load balancer,kygold,West US,Dynamics Dev/Test,,0
demo-loadbalancer,Load balancer,Company1-gold,West US,Dynamics Dev/Test,,0
demo-nic-0,Network Interface,kygold,West US,Dynamics Dev/Test,,0
demo-nic-0,Network Interface,Company1-gold,West US,Dynamics Dev/Test,,0
demo-osdisk,Disk,kygold,West US,Dynamics Dev/Test,,0
demo-osdisk,Disk,Company1-gold,West US,Dynamics Dev/Test,,0
deploy-bot-dev,Web App Bot,deploy-bot,Global,Cashapp Dev/Test,,0
deploy-bot-dev,App Service,deploy-bot,West Central US,Cashapp Dev/Test,,0
deploybotdev905c,Storage account,deploy-bot,West Central US,Cashapp Dev/Test,,0
dev-data-Oms-Workspace,Log Analytics workspace,fa-dev-data,East US,Dataapp Dev/Test,,33
dev5baeee6929-1,Virtual machine,kydev,West US,Dynamics Dev/Test,,55
dev5baeee6929-1,SQL virtual machine,kydev,West US,Dynamics Dev/Test,,0
dev5baeee6929-buildDisk,Disk,kydev,West US,Dynamics Dev/Test,,0
dev5baeee6929-dataDisk0,Disk,kydev,West US,Dynamics Dev/Test,,20
dev5baeee6929-dataDisk1,Disk,kydev,West US,Dynamics Dev/Test,,0
dev5baeee6929-dataDisk2,Disk,kydev,West US,Dynamics Dev/Test,,0
dev5baeee6929-loadbalancer,Load balancer,kydev,West US,Dynamics Dev/Test,,0
dev5baeee6929-nic-0,Network Interface,kydev,West US,Dynamics Dev/Test,,111
dev5baeee6929-osdisk,Disk,kydev,West US,Dynamics Dev/Test,,67
devcd71760476-1,Virtual machine,kytest,West US,Dynamics Dev/Test,,23
devcd71760476-1,SQL virtual machine,kytest,West US,Dynamics Dev/Test,,35
devcd71760476-buildDisk,Disk,kytest,West US,Dynamics Dev/Test,,66
devcd71760476-dataDisk0,Disk,kytest,West US,Dynamics Dev/Test,,40
devcd71760476-dataDisk1,Disk,kytest,West US,Dynamics Dev/Test,,40
devcd71760476-dataDisk2,Disk,kytest,West US,Dynamics Dev/Test,,40
devcd71760476-loadbalancer,Load balancer,kytest,West US,Dynamics Dev/Test,,40
devcd71760476-nic-0,Network Interface,kytest,West US,Dynamics Dev/Test,,40
devcd71760476-osdisk,Disk,kytest,West US,Dynamics Dev/Test,,40
devdeploybot,Language understanding,deploy-bot,West US,Cashapp Dev/Test,,40
devops,Disk,devops,West Central US,Cashapp Dev/Test,,40
devops,App Service plan,devops,West Central US,Cashapp Dev/Test,,40
devops-auto-vms,Automation Account,devops,West US,Cashapp Dev/Test,,40
devops-automation,Automation Account,Cashapp-ase,West Central US,Cashapp Dev/Test,,40
devops-build,Virtual machine,devops,West Central US,Cashapp Dev/Test,,10
devops-build-db,Image,devops-build,Central US,Dataapp Dev/Test,,49.47
devops-build-db,Virtual machine,devops-build,Central US,Dataapp Dev/Test,,49.47
devops-build-db,Network Interface,devops-build,Central US,Dataapp Dev/Test,,49.47
devops-build-db_disk1_2ed52b7fb4db4808bad5daf46a486459,Disk,devops-build,Central US,Dataapp Dev/Test,,49.47
devops-build-ip,Public IP address,devops,West Central US,Cashapp Dev/Test,,49.47
devops-build-nsg,Network security group,devops,West Central US,Cashapp Dev/Test,,49.47
devops-build-nsg,Network security group,devops-build,Central US,Dataapp Dev/Test,,99.95
devops-build-pip,Public IP address,devops-build,Central US,Dataapp Dev/Test,,49.47
devops-build-vnet,Virtual network,devops-build,Central US,Dataapp Dev/Test,,49.47
devops-build2-image-20210511101632,Image,devops,West Central US,Cashapp Dev/Test,,49.47
devops-build2-ip,Public IP address,devops,West Central US,Cashapp Dev/Test,,135.15
devops-build2-nsg,Network security group,devops,West Central US,Cashapp Dev/Test,,138
devops-build2568,Network Interface,devops,West Central US,Cashapp Dev/Test,,99
devops-build2_OsDisk_1_1e5547ef4841499abe8699b485fe37e3,Disk,devops,West Central US,Cashapp Dev/Test,,135.15
devops-build3,Disk,devops,West US,Cashapp Dev/Test,,55
devops-build3,Virtual machine,devops,West US,Cashapp Dev/Test,,5
devops-build3-ip,Public IP address,devops,West US 2,Cashapp Dev/Test,,5
devops-build3-nsg,Network security group,devops,West US 2,Cashapp Dev/Test,,5
devops-build3216,Network Interface,devops,West US 2,Cashapp Dev/Test,,5
devops-build3456,Network Interface,devops,West US,Cashapp Dev/Test,,5
devops-build3877,Network Interface,devops,West US 2,Cashapp Dev/Test,,5
devops-build3_OsDisk_1_d55ff36723ad41b0a219508023838f05,Disk,devops,West US,Cashapp Dev/Test,,5
devops-build4,Disk,devops,West Central US,Cashapp Dev/Test,,50
devops-build4,Virtual machine,devops,West Central US,Cashapp Dev/Test,,50
devops-build4-ip,Public IP address,devops,West Central US,Cashapp Dev/Test,,50
devops-build4-nsg,Network security group,devops,West Central US,Cashapp Dev/Test,,50
devops-build4202,Network Interface,devops,West Central US,Cashapp Dev/Test,,225
devops-build954,Network Interface,devops,West Central US,Cashapp Dev/Test,,0
devops-build_OsDisk_1_aa7b0ffd2dec42c09a8a3b6c48f7e6be,Disk,devops,West Central US,Cashapp Dev/Test,,15
devops-deploy,Virtual machine,devops,West Central US,Cashapp Dev/Test,,0
devops-deploy-ip,Public IP address,devops,West Central US,Cashapp Dev/Test,,0
devops-deploy-nsg,Network security group,devops,West Central US,Cashapp Dev/Test,,0
devops-deploy252,Network Interface,devops,West Central US,Cashapp Dev/Test,,0
